"Company Name","Phone","Website","Country","Type"
"A. Brivio Compensati Spa","+39 0384 6892","https://www.brivio.it/","IT","Plywood"
"Advachem SA","+32 65 61 32 16","https://www.advachem.com/","BE","Associated Members"
"AFRY","+44 207 932 8200","https://www.poyry.com/","GB","Associated Members"
"AFRY Germany","+49 9 954 771 61","https://www.poyry.com/","DE","Associated Members"
"Agepan System","+49 5931 40 50","https://www.sonaearauco.com/","DE","Softboard"
"AHX.ai","+44 7493674269","https://www.ahx.ai/","UK","Associated Members"
"Aica Asia Pacific Pte Ltd","+6596324740","https://www.aica-ap.com/","SG","Associated Members"
"AIDIMME","+34 96 136 60 70","https://www.aidimme.es/","ES","Collaborating Institutes"
"AITIM","+34 91 542 58 64","https://www.aitim.es/","ES","Collaborating Institutes"
"Akritas S.A.","+30 25510 89 810","https://www.akritas.gr/","GR","Particle Board"
"Allin SA","+33 5 49 35 00 03","https://www.allin.fr/","FR","Plywood"
"Altanis GmbH","+49 8856 800381","https://www.altanis.de/","DE","Associated Members"
"ARBOR – HATTFJELLDAL AS","+ 47 75 18 50 00","https://www.arbor.no/","NO","Particle Board"
"Archela Contrachapados S.L.","+34 964 560 989","https://www.archela.com/","ES","Plywood"
"Arclin USA LLC","+43 660 8590130","https://www.arclin.com/","US","Associated Members"
"Argos Solutions AS","+47 916 694 25","https://www.argossolutions.no/","NO","Associated Members"
"Armor Panneaux","+33 2 97 74 95 81","https://www.armor-panneaux.com/","FR","Particle Board"
"AS Repo Vabrikud","+372 33 96000","https://www.sorbesgroup.com/","EE","Particle Board"
"Asociación Española de Fabricantes de Tablero Contrachapado (AEFCON)","+34 961 152 181","https://www.aefcon.org/","ES","National Member Associations"
"Asociación Nacional de Fabricantes de Tableros (ANFTA)","+34 91 564 78 00","https://www.anfta.es/","ES","National Member Associations"
"Bakelite Synthetics UK LIMITED","+44 1446 725593","https://www.bakelite.com/","GB","Associated Members"
"Bangor University of Wales","+44 1248 364 297","https://www.bangor.ac.uk/","GB","Collaborating Institutes"
"BASF SE – Business Unit Glues & Impregnation Resins","+49 6 21 60 54540","https://www.basf.com/","DE","Associated Members"
"Benazzi Compensati srl","+39 0375 838090","https://www.compensatibenazzi.it/","IT","Plywood"
"Berndorf Band GmbH & Co","+43 2672 800","https://www.berndorf.co.at/","AT","Associated Members"
"Best Wood Schneider GmbH","+49 7355 9320-0","https://www.schneider-holz.com/","DE","Softboard"
"Bipan SpA","+39 0432 9301","https://www.gruppofrati.com/","IT","Particle Board, MDF"
"Blanchon Group","+33 60 9242042","https://www.blanchon.com/","FR","Associated Members"
"Blomberger Holzindustrie GmbH","+49 5235 9660","https://www.delignit.com/","DE","Plywood"
"Borsodchem Zrt.","+36 48 511 211","https://www.borsodchem-group.com/","HU","Associated Members"
"Building Research Establishment","+44 1923 66 4000","https://www.bre.co.uk/","GB","Collaborating Institutes"
"Bundesanstalt für Materialforschung und -prüfung (BAM)","+49 30 8104 14 20","https://www.bam.de/","DE","Collaborating Institutes"
"Bydgoskie Zaklady Sklejek Sklejka – Multi S.A.","+48 52 342 50 61","https://www.sklejka.pl/","PL","Plywood"
"Byggelit Lit","+46 642 444 00","https://www.byggelit.se/en","SE","Particle Board"
"Byggevareindustriens Forening – Construction Products Norway","+47 23 08 75 00","https://www.bnl.no/","NO","National Member Associations"
"C.I.M.A. Srl Compensati Materiali Affini","+39 049 8840833","https://www.cima-srl.com/","IT","Plywood"
"Cargill BV","+44 7920 410 743","https://www.cargill.com/","NL","Associated Members"
"Catas SPA","+39 0432 747211","https://www.catas.com/","IT","Collaborating Institutes"
"Catenva S.L.","+34 962 990 970","https://www.catenva.com/","ES","Plywood"
"Centre de Recherche de la Nature, des Forêts et du Bois","+32 81 62 64 55","http://biodiversite.wallonie.be/","BE","Collaborating Institutes"
"Centro PINUS","+351 258 738 067","https://www.facebook.com/centropinus","PT","Collaborating Institutes"
"CFPIMM – Vocational Training Centre of Wood and Furniture Industries","+351 255 880 480","https://www.cfpimm.pt/","PT","Collaborating Institutes"
"Chimar Hellas S.A.","+30-2310-424167","https://www.chimar-hellas.com/","GR","Associated Members"
"CIS Madera","+34 988 36 81 52","https://www.cismadera.com/","ES","Collaborating Institutes"
"Comercial Frepansa S.L.","+34 952 558 054","Not available","ES","Plywood"
"Compagnie Française du Panneau (CFP)","+33 3 84 93 41 00","https://www.cfp.fr/","FR","Particle Board"
"Compensati Toro SPA","+39 0125687999","http://www.compensatitoro.it/","IT","Plywood"
"Contrachapados Carlet S.L.","+34 962 988 006","https://www.contrachapadoscarlet.com/","ES","Plywood"
"Contrachapados Hijos de Pascual, S.L.","+34 636 995 302","Not available","ES","Plywood"
"Contrachapados Industriales S.L.","+34 968 746 145","Not available","ES","Plywood"
